designation,year,perihelion_date,start_date,end_date,distance
"1P/66 B1, 66",66,0066-01-26,0066-01-25,0066-01-26,NA
"1P/141 F1, 141",141,0141-03-25,0141-03-22,0141-03-25,NA
"1P/218 H1, 218",218,0218-04-06,0218-04-06,0218-05-17,NA
"1P/295 J1, 295",295,0295-04-07,0295-04-07,0295-04-20,NA
"1P/374 E1, 374",374,0374-02-13,0374-02-13,0374-02-16,0.09 AU
"1P/451 L1, 451",451,0451-07-03,0451-06-28,0451-07-03,NA
"1P/530 Q1, 530",530,0530-11-15,0530-09-27,0530-11-15,NA
"1P/607 H1, 607",607,0607-03-26,0607-03-15,0607-03-26,0.09 AU
"1P/684 R1, 684",684,0684-11-26,0684-10-02,0684-11-26,NA
"1P/760 K1, 760",760,0760-06-10,0760-05-20,0760-06-10,NA
"1P/837 F1, 837",837,0837-02-25,0837-02-25,0837-02-28,0.03 AU
"1P/912 J1, 912",912,0912-07-27,0912-07-18,0912-07-27,NA
"1P/989 N1, 989",989,0989-09-02,0989-09-02,0989-09-05,NA
"1P/1066 G1, 1066",1066,1066-03-25,1066-01-01,1066-03-25,0.10 AU
"1P/1145 G1, 1145",1145,1145-04-19,1145-04-15,1145-04-19,NA
"1P/1222 R1, 1222",1222,1222-09-10,1222-09-10,1222-09-28,NA
"1P/1301 R1, 1301",1301,1301-10-22,1301-10-22,1301-10-31,NA
"1P/1378 S1, 1378",1378,1378-11-09,1378-11-09,1378-11-14,NA
"1P/1456 K1, 1456",1456,1456-01-08,1456-01-08,1456-06-09,NA
"1P/1531 P1, 1531",1531,1531-08-26,1531-08-26,1531-08-26,NA
"1P/1607 S1, 1607",1607,1607-10-27,1607-10-27,1607-10-27,NA
"1P/1682 Q1, 1682",1682,1682-09-15,1682-09-15,1682-09-15,NA
"1P/1758 Y1, 1759 I",1758,1758-03-13,1758-03-13,1758-12-25,NA
"1P/1835 P1, 1835 III",1835,1835-11-16,1835-08-01,1835-11-16,NA
"1P/1909 R1, 1910 II, 1909c",1910,1910-04-20,1910-04-20,1910-05-20,NA
"1P/1982 U1, 1986 III, 1982i",1986,1986-02-09,1986-02-09,1986-02-09,0.586 AU
NA,2061,2061-07-28,2061-07-28,2061-07-28,NA
