prod,prod_cate
softdrinks,drink
fermentedmilk,dairy
chilledlivestock,meat
cooky/cakes,snack
mushrooms,vegetable
bread,snack
laundrydetergent,house_prod
beans,vegetable
otherreadymadefoods,fastfood
chilledagriculturalproducts,house_prod
eidbleherbs,vegetable
bottledfoods,fastfood
koreanpork,meat
milk,dairy
chilledseafood,seafood
cereals,snack
apple/sweetmelon,fruite
othervegetables,vegetable
processedlivefish,seafood
harddrinks,drink
candy-gum,snack
fruitvegetables,fruite
rootvegetables,vegetable
artificialpowders,sauce
banana/importedfruits,fruite
ramen,fastfood
tea,drink
chilleddairymilks,dairy
sweeteners,sauce
driedfish,seafood
koreanbeef,meat
chinesecabbages,dairy
strawberry/peach/,fruite
cheese/butter,dairy
eggs,dairy
kitchen/housedetergents,house_prod
tomato/plum/melon,fruite
pear/kiwi/grape,fruite
snacks,snack
lattuce,vegetable
processeddryfoods,fastfood
otherlivefish,seafood
livefish,seafood
wildvegetables,vegetable
otherbeverages,drink
wastepapers,house_prod
noodles,fastfood
koreanchicken,meat
dryfruits,fruite
minorcereals,snack
ketchupandmayoneise,sauce
instantfoods,fastfood
bakery,snack
hairproducts,house_prod
chocolete,snack
importedbeef,meat
otherseafoods,seafood
cosmetics,makeup
koreanconfectionary,meat
ready-mademeals,fastfood
icecream,dairy
coffee,drink
chillednoodles,fastfood
sanitaryproducts,house_prod
soysaucesandpastes,sauce
maincereals,snack
dentalproducts,house_prod
cookingoil,house_prod
pre-processedmeals,fastfood
seasonings,sauce
otherlivestockmeats,meat
frozendumpling,meat
processeddriedfish,seafood
pre-processedsnacks,snack
ready-madesnacks,snack
ready-madesidedishes,fastfood
mandarinorange/watermelonandotherfruits,fruite
fastfoods,fastfood
seasonedmeat,meat
babyproducts,house_prod
frozenmeat,meat
importedpork,meat
powderedmilk,dairy
pre-processedsidedishes,fastfood
